linha;status;motivo;researcher_id;universidade;institution_id;identity_territory;workload;city_id
2;atualizado;;263ada97-e2af-4b8b-9d72-32a6f482f26c;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
3;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
4;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
5;atualizado;;e0d63a15-b0ca-4f3a-be5d-6734a31940eb;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
6;atualizado;;6ac4e99c-6902-46d7-87e6-c78394ffa210;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;13.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
7;atualizado;;325b0da7-f45d-4fb4-83bf-590f2d55e4d5;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;34.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
8;atualizado;;8a1de59b-e94d-4b7b-afed-5aafda4f34d3;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;27.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
9;atualizado;;cefcc2f0-56be-45dd-a8c5-970c8bc1625b;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;32.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
10;atualizado;;9f95e9b9-c1d0-4e83-a39d-fbd137203228;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
11;atualizado;;898f0c2a-c329-44bd-9ef7-8f88888fc687;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
12;atualizado;;521bdfcf-fde7-487e-a294-ca69041ad5a5;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
13;atualizado;;563f2d51-6f13-49d2-ac17-9b789a42fa81;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
14;atualizado;;3bacc91b-96ce-4988-91b5-29767325dd0c;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
15;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
16;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
17;atualizado;;48f77802-0676-4cf4-bf9e-4057331e206e;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
18;atualizado;;3992a325-cef6-4859-94ad-45162b3cbc88;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
19;atualizado;;e535429a-9475-475b-975a-e4785d53f752;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;25.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
20;atualizado;;7a78ecc1-442e-4197-923c-79abf14b4329;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
21;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
22;atualizado;;14e3f819-6176-4ddf-adbf-145bfdfc09f6;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
23;atualizado;;2bfef1ac-dcb4-4888-9f85-937ea8c4788f;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
24;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
25;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
26;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
27;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
28;atualizado;;44e77994-efc7-42fd-a8d9-290fb4a1b7aa;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
29;atualizado;;51a9ac34-79d0-4450-90b1-07ad78fa924a;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
30;atualizado;;a101cfdb-5fa1-4813-a329-ee15ff5eacdb;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
31;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
32;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
33;atualizado;;86ec2dea-3bcd-483a-90bb-ea0f4409702b;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
34;atualizado;;96958b42-c205-4197-bb88-a39d92fa0a28;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
35;atualizado;;064dce61-7aa0-4d52-a65f-0e338a902d7e;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;14.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
36;atualizado;;dd8e0afb-19ec-4015-ba5d-37144f3ede49;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
37;atualizado;;90699aa4-a534-445e-988f-86747b1ebc86;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
38;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
39;atualizado;;f2c58270-3a1a-49fe-8dd8-1e9b63455595;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
40;atualizado;;5b8fde35-a781-44d7-b0da-4f5499a8b952;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
41;atualizado;;17d9ae59-20f3-41ae-a9bf-ceb0ae1bbc9e;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
42;atualizado;;91119024-84f9-4b47-8ead-7ae2aa7bc75b;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
43;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
44;atualizado;;6c98b3e0-d5d9-448c-b416-1df78fb0a920;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
45;atualizado;;4db46b1b-62ec-458c-a26b-89e32eed30b4;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
46;atualizado;;ca3d19fc-197f-41ba-b16b-143763bc2e3c;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
47;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
48;atualizado;;be88c851-beb3-46fb-b490-b4415fa142e9;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
49;atualizado;;dc5c1f0c-a37a-45dd-8a97-e8559dc11abd;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
50;atualizado;;cbbf5c14-e70f-4b6a-b9d9-3df5861a26be;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
51;atualizado;;6d7d6250-fa29-4d20-a60a-3a9c9cb4ba9a;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
52;atualizado;;34b9b463-53a7-43df-a520-33bead738749;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
53;atualizado;;15b1afdd-3972-418c-8d83-a52ed7ed124a;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
54;atualizado;;7b2dd2bc-5c16-48ff-81ec-61cfc55fe146;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
55;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
56;atualizado;;2a11d7a8-95a3-45b4-baed-6f3267935c23;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
57;atualizado;;01ae2de7-a6e1-49e0-a234-88b0d734b0d9;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
58;atualizado;;7f4dbe64-5b30-43f1-81d4-12c178b3e3a7;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
59;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
60;atualizado;;532026ab-4329-441f-97ff-d8b529d58ed7;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
61;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
62;atualizado;;57a8cdbf-3314-4fec-8ebb-0909bc863b5f;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
63;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
64;atualizado;;6a7a3e6b-b4cf-4992-b0ce-099d165caa25;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;22.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
65;atualizado;;251af5b4-7277-4996-9119-7c5aff4df385;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
66;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
67;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
68;atualizado;;98f748bf-f297-4d8a-b9bb-6c59fde6ee19;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
69;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
70;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
71;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
72;atualizado;;9ddfeeff-5dfe-470c-bec7-f8b550b0303b;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
73;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
74;atualizado;;0c0f0835-fc38-41da-b707-236937f06bcc;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
75;atualizado;;8fc1bc93-f073-4720-ae2d-d86284695101;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
76;atualizado;;1de3f8cb-10eb-496e-a08f-d1372065399a;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
77;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
78;atualizado;;1496becf-fde1-4b4a-b8d5-dfaf9dc666a7;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
79;atualizado;;848e63fb-d4db-4f52-95ea-9428ed04f841;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
80;atualizado;;0cbf65a6-8686-4052-9d92-3615f5b408d0;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
81;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
82;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
83;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
84;atualizado;;62f64f78-dfd1-48f6-b1d9-b1130ae91f88;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
85;atualizado;;bac04160-d414-40e6-836b-44f6854b85c8;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
86;atualizado;;7914b8ae-8073-4ffa-8c90-64d795005de8;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
87;atualizado;;56e9cb3f-99b6-4c07-b9d5-e1fac4b000b1;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
88;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
89;atualizado;;1ad31e80-4d7e-4c87-b38a-f13461ac94ba;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
90;atualizado;;87b95b7f-3af2-42f0-b4c3-5df8f46d7270;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
91;atualizado;;755fe1ac-299c-48a1-ac4c-d8d1a1e0c208;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
92;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
93;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
94;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
95;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
96;atualizado;;807fdc53-c8bb-4514-b0ad-39c583d6466d;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
97;atualizado;;e838a513-176f-4c29-a222-10e74943e843;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
98;atualizado;;8141face-6cae-4a36-a01a-9ca35c05db5d;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
99;atualizado;;56b9bba8-0817-48e3-98ef-7c46e1c2d4bd;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
100;atualizado;;f4d275a0-e293-4d98-aa5c-2216bddaa38f;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
101;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
102;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
103;atualizado;;ae7563d2-31c3-4933-9b00-784b9a7037fa;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
104;atualizado;;1efac7ce-ee40-48b9-b9ed-83c5ae3ef5e6;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
105;atualizado;;9e54e102-fb57-4aec-9971-12e3b89a3fc6;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
106;atualizado;;977ba1c0-f776-4553-97fd-07660ec9b18c;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
107;atualizado;;66c4d554-03a9-4c4b-881b-ce89f206867f;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
108;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
109;atualizado;;b78c6b3f-d8ac-4d0f-bf74-5f074c2bc19d;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
110;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
111;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
112;atualizado;;bdf1efe8-4c62-4d1a-83ba-e6f8641aef14;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;35.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
113;atualizado;;6f48a2f4-652b-4a41-b00b-29312ca4a719;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
114;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
115;atualizado;;1ff52f66-419a-4a2c-bdd8-210ae0d3d86b;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
116;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
117;atualizado;;3cdc575a-d4a8-42a1-86e3-22d7b8d587d1;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
118;atualizado;;b5ed4718-9116-4d8d-9b7b-bb3c99b454b7;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;27.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
119;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
120;atualizado;;3e4ededb-aa0b-4d2b-b140-f3ade93b659e;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
121;atualizado;;9fb5d872-1987-4d34-a035-dad4789f25d6;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
122;atualizado;;2b5189fd-09e9-4d99-85a4-6c3913a312bd;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
123;atualizado;;742d9f18-4498-420b-ab57-f1f4e40f1324;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
124;atualizado;;9f3cda42-ea79-46dd-be1d-98a2a30379d2;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
125;atualizado;;f85dcf2c-7793-4aa2-9cb0-bb8ab63f0609;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
126;atualizado;;67d5c95f-ca28-47d6-b566-4b0051b7e35d;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;14.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
127;atualizado;;5482eec4-425b-4d49-9b8b-beab663f74cf;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;31.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
128;atualizado;;e4f1c34a-0774-4745-b657-478616739e9e;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
129;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
130;atualizado;;2cf0c8bf-7920-4818-89d8-7004d58024c9;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
131;atualizado;;f6c8e486-3ed7-4c19-8c76-502316a3a87d;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
132;atualizado;;a17ffeb8-9e1b-4af5-a133-aeb42297f879;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
133;atualizado;;b13e5f5c-37bc-4aff-b620-cba49aaf41da;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
134;atualizado;;9cb41f0a-ed52-41fd-bcbe-c1d384e5105f;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
